"members","id","ele","slp","svf","aspC","aspS","asp"
45544,1,3460.64256543123,30.1323415813665,0.89,-0.110153567378972,0.760045920219511,98.2464673552441
25918,2,3487.55991974689,43.0163793511166,0.81,-0.838189445312232,-0.00282287169284223,180.192961177839
28355,3,4102.59481572915,46.7881518267491,0.75,0.0800894015031859,-0.772029511725338,275.92260918168
26457,4,2596.85576595986,27.1261959729428,0.79,0.202755812375394,0.727566093812627,74.4280781845721
33656,5,5435.59522819111,41.7585042338561,0.84,-0.228126453231635,0.786474164537784,106.1754480963
29411,6,3183.71493658835,29.2828947645342,0.89,-0.967487301894874,-0.0758239823534684,184.481228970325
8914,7,3380.71976665919,46.9464802683662,0.52,0.0865366508720264,-0.626993514571009,277.858226287694
23442,8,3326.33478372153,49.6948865004056,0.68,-0.108240496976229,-0.589210923715515,259.590587718821
31082,9,3958.96538189306,16.7061198640167,0.96,-0.759520448382695,-0.0293975203697647,182.216547942575
52485,10,3492.00842145375,30.6311522976976,0.9,-0.0846210490045781,-0.802453983869887,263.980245553053
42412,11,4318.1181976799,43.2296197108913,0.8,0.0142965078982559,-0.774526315645161,271.057467690498
35072,12,3010.33525319343,42.3738328074063,0.8,-0.0705410038314629,0.779267759478939,95.1724405715308
13295,13,1676.68213614141,26.1117057592904,0.72,0.00442307723375497,-0.620554988270219,270.408375359675
22464,14,4784.80760327635,51.758998391074,0.74,0.472095738571969,0.00694201242051879,0.842454858724566
38868,15,4214.55739940311,28.9760565373172,0.91,-0.967187399965307,-0.0779815031801774,184.609620459801
13466,16,5094.96769642061,60.165716854488,0.67,0.331909677293056,-0.592204778786363,299.269076854993
36163,17,5368.44457041728,25.759889676447,0.93,-0.26032216790252,0.765830961888863,108.77398527674
20729,18,4339.55656326885,15.2178076857739,0.86,0.489233824763134,0.0971650163385477,11.2331409619059
30244,19,2912.84992064542,42.126378991342,0.75,0.0347586111536221,0.776098889858436,87.4356466602576
18908,20,2400.84197165221,22.2160233633061,0.79,0.164431244308771,-0.654990786072137,284.092506174211
32426,21,3736.16341824462,27.335896626144,0.92,-0.851805525053307,-0.167109756264106,191.099491962166
35565,22,4367.49652748489,36.6647719337704,0.87,-0.924370067424719,-0.326967126959541,199.479647511002
30808,23,4686.88301739808,11.2072315228176,0.98,-0.710524321814161,0.0114309006554857,179.078306192306
47798,24,3535.64377170593,35.4054185786273,0.86,-0.0537972557876713,-0.766124043386101,265.983281749098
52195,25,4944.04632627646,39.6799755754415,0.85,0.0283228394913583,-0.787467657394904,272.05986866713
28549,26,5305.97838803461,13.6179277752229,0.97,-0.14670622474451,0.691027346174448,101.986023593408
26104,27,3071.4532255593,14.6883209262696,0.88,0.122413680504881,0.65808439175888,79.4625519051577
22210,28,5366.40252138676,53.1851104511678,0.74,-0.128577105215977,0.717145745872579,100.16456895405
